word,count,independent,bind,len,compound_entropy,spe,rsr
女友,25,10,0.5556,2,2.3943,1.5567,58.1429
归来,25,7,0.8824,2,0.9142,0.9655,125.0645
我以,25,12,0.16,2,3.8937,0.0,7.5333
真是,25,3,0.64,2,2.0039,1.3163,159.6897
说好,25,15,1.0,2,3.9501,0.0,139.6
仙界,24,7,0.7222,2,1.0529,0.3095,16.1667
医生,24,14,0.25,2,2.7516,0.684,21.9091
天赋,24,18,0.2667,2,3.4992,0.9183,85.6667
异世界,24,11,0.3158,3,2.9502,0.8366,67.8667
我真的,24,4,1.0,3,2.6341,0.0,27.0909
日子,24,5,1.0,2,1.4154,0.0,210.0
是我,24,5,0.4167,2,2.519,1.4264,42.2838
一人之,23,2,1.0,3,0.8743,0.4022,12.72
世之,23,4,0.2609,2,2.5832,1.0676,9.0435
之下,23,2,0.913,2,0.5132,0.6343,15.2
升级,23,6,0.3182,2,2.8074,0.0,20.3333
完美,23,7,0.2174,2,3.2359,0.8631,41.1429
属性,23,8,0.2727,2,3.085,1.1255,10.7143
成仙,23,14,0.5,2,2.161,0.9911,43.4444
技能,23,6,0.1818,2,3.6169,0.9183,43.2222
来的,23,5,0.6522,2,1.8886,1.4467,3.2429
死神,23,13,0.3,2,2.5724,0.8813,163.8
绝世,23,5,0.4444,2,2.1468,0.8113,57.25
苟在,23,15,1.0,2,4.3158,0.0,9.25
高武,23,17,0.3636,2,1.8541,0.0,38.5556
女帝,22,17,0.1875,2,3.0851,0.0,154.8
封神,22,14,0.2857,2,2.0919,0.8113,94.0
我真不是,22,18,1.0,4,0.7642,1.0,111.5
星际,22,12,0.2857,2,2.2359,0.8631,37.2143
是大,22,1,0.3636,2,2.8408,1.3441,34.6316
有点,22,15,0.1364,2,4.0615,0.0,1.4286
生了,22,2,0.9091,2,0.5304,0.951,9.7037
男神,22,9,0.5,2,3.2664,0.0,12.8
真没,22,2,0.9524,2,0.2762,0.9911,181.8111
种田,22,12,0.2,2,3.2516,0.7219,58.2
自己,22,7,0.5,2,2.5479,0.0,101.8148
超人,22,18,0.1429,2,3.6645,1.0,116.5
路明,22,1,0.9545,2,0.2668,0.9896,25.11
一人之下,21,17,1.0,4,1.2415,1.0,173.0
之神,21,12,0.5,2,2.5559,1.5794,13.25
人间,21,13,0.125,2,3.5,0.7219,35.8
剑仙,21,15,0.25,2,2.2516,0.0,50.0
十年,21,8,0.5556,2,2.1488,1.2997,8.4167
成圣,21,5,0.6667,2,3.3826,0.4395,14.7273
时空,21,11,0.4,2,2.7396,0.9968,14.2
超凡,21,13,0.25,2,2.9477,0.8113,50.875
超神,21,17,0.25,2,4.0958,0.0,94.0
路明非,21,7,0.6923,3,1.7899,0.7973,93.2414
主神,20,9,0.2222,2,3.3661,0.0,43.6364
古代,20,11,0.4167,2,2.2842,0.8366,38.8
吞噬星空,20,9,1.0,4,1.6438,0.0,116.9231
大明星,20,10,0.4211,3,3.3931,0.0,57.7143
她们,20,10,0.3,2,1.6216,0.0,5.7143
我真没,20,3,0.75,3,1.1488,0.0,17.52
指南,20,13,0.25,2,3.6414,0.0,1.2857
救世,20,2,0.5789,2,1.5738,1.1887,15.5417
极品,20,14,0.3333,2,4.2627,0.0,10.0
江湖,20,16,0.125,2,3.5466,0.0,3.5
觉醒,20,11,0.2143,2,3.086,1.3093,119.9091
重生了,20,5,0.9091,3,1.1982,1.4958,8.9706
黑科技,20,7,0.4375,3,2.5218,1.1897,110.3684
主播,19,9,0.3333,2,2.5654,1.3844,51.4167
之路,19,15,0.5,2,4.2018,0.0,7.0
位面,19,11,0.2727,2,2.8454,0.9457,35.9091
复苏,19,4,0.3158,2,2.0049,0.0,2.8
大国,19,14,0.5,2,4.0707,0.0,4.4
大秦,19,15,0.2222,2,2.3219,0.0,132.0
太子,19,11,0.2857,2,2.7255,0.8113,72.5
娱乐圈,19,10,0.5,3,2.5218,0.0,182.6667
御兽,19,13,0.1818,2,3.2776,0.9183,60.3333
成真,19,6,0.8,2,1.5197,1.5751,41.2857
我不是,19,15,0.5,3,1.9219,1.0,116.5
我要,19,7,0.6667,2,1.2988,0.6194,42.1538
明朝,19,8,0.3846,2,2.4416,1.4772,42.5625
